,Entidad,Nit Entidad,Departamento Entidad,Ciudad Entidad,OrdenEntidad,Entidad Centralizada,ID del Proceso,Referencia del Proceso,PCI,ID del Portafolio,Nombre del Procedimiento,Descripción del Procedimiento,Fase,Fecha de Publicacion del Proceso,Fecha de Ultima Publicación,Fecha de Publicacion (Fase Planeacion Precalificacion),Fecha de Publicacion (Fase Seleccion Precalificacion),Fecha de Publicacion (Manifestacion de Interes),Fecha de Publicacion (Fase Borrador),Fecha de Publicacion (Fase Seleccion),Precio Base,Modalidad de Contratacion,Justificación Modalidad de Contratación,Duracion,Unidad de Duracion,Fecha de Recepcion de Respuestas,Fecha de Apertura de Respuesta,Fecha de Apertura Efectiva,Ciudad de la Unidad de Contratación,Nombre de la Unidad de Contratación,Proveedores Invitados,Proveedores con Invitacion Directa,Visualizaciones del Procedimiento,Proveedores que Manifestaron Interes,Respuestas al Procedimiento,Respuestas Externas,Conteo de Respuestas a Ofertas,Proveedores Unicos con Respuestas,Numero de Lotes,Estado del Procedimiento,ID Estado del Procedimiento,Adjudicado,ID Adjudicacion,CodigoProveedor,Departamento Proveedor,Ciudad Proveedor,Fecha Adjudicacion,Valor Total Adjudicacion,Nombre del Adjudicador,Nombre del Proveedor Adjudicado,NIT del Proveedor Adjudicado,Codigo Principal de Categoria,Estado de Apertura del Proceso,Tipo de Contrato,Subtipo de Contrato,Categorias Adicionales,URLProceso,Codigo Entidad,Estado Resumen,Fecha,exchange_rate,Year,Avg,Valor del Contrato,Valor real,Codigo de Categoria Recortado,keep,Valor Proyectado,range-,range+,in_range,perc_error,Similitud de valor,miles de dolares sobre estimación,predicterr,Contrato relacionado con publicidad,Tamaño valor extraño,veces la predicción
193043,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6707550,IPSE-205-2024,700566011,CO1.BDOS.6581290,AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DEL MUNICIPIO DE ALBANIA; LA GUAJIRA,IMPLEMENTACION DE SOLUCIONES ENERGETICAS SOSTENIBLES PARA LA AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DEL MUNICIPIO DE ALBANIA EN EL DEPARTAMENTO DE LA GUAJIRA.,Presentación de oferta,08/22/2024,08/22/2024,,,,,08/22/2024,10294382128,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,711603134,Caquetá,Florencia,,0,No Adjudicado,ELECTRIFICADORA DEL CAQUETÁ S.A. ESP,891190127,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6590615,700566011,Adjudicado,2024,3.9155429850746266,,1,10294382128,10294.382128000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,13144.53583914211,6.56231248151216e-29,2628.907167828423,2.104568481445312,0.2514696717262268,135293209.5911575,13145.535839142114
559242,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6880888,IPSE-221-2024,700566011,CO1.BDOS.6752261,DESARROLLAR LA GERENCIA DE PROYECTO PARA REALIZAR ESTUDIOS TÉCNICOS; FORMULACIÓN; ESTRUCTURACIÓN Y LA ELABORACIÓN DE DISEÑOS DE PROYECTOS ENERGÉTICOS,"DESARROLLAR LA GERENCIA DE PROYECTO PARA REALIZAR ESTUDIOS TÉCNICOS, FORMULACIÓN, ESTRUCTURACIÓN Y LA ELABORACIÓN DE DISEÑOS DE PROYECTOS ENERGÉTICOS PARA LA PRESTACIÓN DEL SERVICIO DE ENERGÍA ELÉCTRICA EN LAS ZONAS NO INTERCONECTADAS DEL PAÍS.",Presentación de oferta,09/20/2024,09/20/2024,,,,,09/20/2024,6240764216,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704845106,Caldas,Manizales,,0,No Adjudicado,GESTION ENERGETICA SA ESP,8001942089,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6762503,700566011,Adjudicado,2024,3.9155429850746266,,1,6240764216,6240.764216000001,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,7968.219390246405,2.9233541484915186e-29,1593.643878049281,29.06541061401367,0.3063356876373291,49546388.06140383,7969.219390246405
691546,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6742469,IPSE-208-2024,700566011,CO1.BDOS.6615329,IMPLEMENTACION DE SOLUCIONES ENERGETICAS SOSTENIBLES,"IMPLEMENTACION DE SOLUCIONES ENERGETICAS SOSTENIBLES PARA LA AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DE LOS MUNICIPIOS DE BOLIVAR, DAGUA, FLORIDA Y PRADERA EN EL DEPARTAMENTO DEL VALLE DEL CAUCA.",Presentación de oferta,08/29/2024,08/29/2024,,,,,08/29/2024,5527272597,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704845106,Caldas,Manizales,,0,No Adjudicado,GESTION ENERGETICA SA ESP,8001942089,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6624498,700566011,Adjudicado,2024,3.9155429850746266,,1,5527272597,5527.272597000002,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,7057.117632814925,2.65805755056407e-29,1411.423526562985,26.69477081298828,0.224052682518959,38859063.630465634,7058.117632814924
759717,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6693120,IPSE-201-2024,700566011,CO1.BDOS.6567056,AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DE MUNICIPIOS EN EL DEPARTAMENTO DEL VALLE DEL CAUCA,"IMPLEMENTACION DE SOLUCIONES ENERGETICAS SOSTENIBLES PARA LA AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DE LOS MUNICIPIOS DE BOLIVAR, DAGUA, FLORIDA Y PRADERA EN EL DEPARTAMENTO DEL VALLE DEL CAUCA.",Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,5527272597,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704845106,Caldas,Manizales,,0,No Adjudicado,GESTION ENERGETICA SA ESP,8001942089,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6576493,700566011,Adjudicado,2024,3.9155429850746266,,1,5527272597,5527.272597000002,V1.801,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,7057.117632814925,2.345726002896172e-27,1411.423526562985,29.44656562805176,0.224052682518959,38843853.71039177,7058.117632814924
386475,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6694961,IPSE-202-2024,700566011,CO1.BDOS.6568685,CONVENIO INTERADMINISTRATIVO NO. IPSE-202-2024  SUSCRITO ENTRE EL INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS - IPSE Y FONDO MIXTO DE ETNOCULTURA,"AUNAR ESFUERZOS PARA BRINDAR ASISTENCIA TÉCNICA PARA EL FORTALECIMIENTO DE CAPACIDADES ORGANIZATIVAS DE LOS PRESTADORES Y CAPACITAR A 1.600 USUARIOS DE LAS COMUNIDADES DE LAS ZNI, EN TEMAS ASOCIADOS A LA PRESTACIÓN DEL SERVICIO, LA EFICIENCIA ENERGÉTICA Y EL USO RACIONAL DE LA ENERGÍA ELÉCTRICA, COMO FACTOR DE SOSTENIBILIDAD EN LA IMPLEMENTACIÓN DE PROYECTOS ENERGÉTICOS",Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,2999983746,Contratación directa,Contratos o convenios Interadministrativos (valor cero),otro,día(s),,,,Bogotá,SUBDIRECCIÓN DE PLANIFICACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,710427048,Valle del Cauca,Cali,,0,No Adjudicado,FONPACIFICO,901039684,V1.86101700,Abierto,Otro,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6579168,700566011,Adjudicado,2024,3.9155429850746266,,1,2999983746,2999.983746,V1.861,True,0.7831085970149254,1.533147686796712,0.6000000000000001,0,3829.86554972761,6.266821951664556e-26,765.9731099455221,31.80636215209961,0.2683770060539245,11394115.829072496,3830.8655497276104
537506,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6731425,IPSE-SCYS-SAMC-006-2024,700566011,CO1.BDOS.6604456,REALIZAR LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE PROYECTOS ENERGETICOS SOSTENIBLES DE AMPLIACIÓN DE COBERTURA DEL SERVICIO DE ENERGÍA ELÉCTRICA PARA COMUNIDADES EN LA ZONA RURAL DISPERSA DEL MUNICIPIO DE,REALIZAR LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE PROYECTOS ENERGETICOS SOSTENIBLES DE AMPLIACIÓN DE COBERTURA DEL SERVICIO DE ENERGÍA ELÉCTRICA PARA COMUNIDADES EN LA ZONA RURAL DISPERSA DEL MUNICIPIO DE MANAURE EN EL DEPARTAMENTO DE LA GUAJIRA,Presentación de observaciones,08/27/2024,08/27/2024,,,,08/27/2024,,52661210393,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Proceso de licitación pública declarado desierto,otro,día(s),09/17/2024,09/17/2024,09/17/2024,Bogotá,SUBDIRECION CONTRATOS,0,0,56,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,,0,No Adjudicado,No Definido,No Definido,V1.81101700,Cerrado,Obra,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6614695,700566011,Presentación de observaciones,2024,3.9155429850746266,,1,52661210393,52661.21039299999,V1.811,True,579.5105784330499,1134.5492900800339,444.0078277587891,0,89.87187076962715,4.411939483719599e-14,13301.27137234692,38.58806610107422,0.2686908543109894,2700667.227404181,90.87187076962715
283046,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6690919,IPSE 198-2024,700566011,CO1.BDOS.6555194,IMPLEMENTACION DE PROYECTOS SMPLIACION DE COBERTURA  CASANARE VAUPÉS  VICHADA,IMPLEMENTACIÓN DE PROYECTOS ENERGÉTICOS SOSTENIBLES PARA LA AMPLIACIÓN DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DE LOS DEPARTAMENTOS DE CASANARE  VAUPÉS  VICHADA,Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,9595930851,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,701237117,Arauca,No Definido,,0,No Adjudicado,ENELAR E.S.P,892099499,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6574805,700566011,Adjudicado,2024,3.9155429850746266,,1,9595930851,9595.930850999997,V1.801,True,82.40726264229674,161.33458957912367,63.13857078552246,0,115.4452081444912,1.321668100304114e-15,2429.681815426777,-0.6356500387191772,0.2849949598312378,1113903.888250824,116.44520814449119
460027,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6690796,IPSE-199-2024,700566011,CO1.BDOS.6555438,AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DEL DEPARTAMENTO DEL CAUCA,IMPLEMENTACION DE PROYECTOS ENERGETICOS SOSTENIBLES PARA LA AMPLIACION DE COBERTURA A COMUNIDADES DE LA ZONA RURAL Y DISPERSA DEL DEPARTAMENTO DEL CAUCA.,Presentación de oferta,08/20/2024,08/20/2024,,,,,08/20/2024,11930657218,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,711961540,Cauca,Popayán,,0,No Adjudicado,CEDELCA S.A. E.S.P,891500025,V1.83101800,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6574807,700566011,Adjudicado,2024,3.9155429850746266,,1,11930657218,11930.657217999998,V1.831,True,154.1564914843044,301.8031844175423,118.111198425293,0,76.39315485922776,3.742284814201685e-13,3007.629023970796,4.3760986328125,0.2635576725006103,859210.811686793,77.39315485922778
720214,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6810283,IPSE-215-2024.,700566011,CO1.BDOS.6683140,IMPLEMENTACIÓN DE SOLUCIONES ENERGETICAS SOSTENIBLES EN CHOCÓ; VICHADA Y GUAINÍA,"IMPLEMENTACIÓN DE SOLUCIONES ENERGÉTICAS SOSTENIBLES EN LA ZONA RURAL DE LOS DEPARTAMENTOS DE CHOCÓ, VICHADA Y GUAINÍA.",Presentación de oferta,09/09/2024,09/09/2024,,,,,09/09/2024,27067552244,Contratación directa,No existe pluralidad de oferentes en el mercado,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,704136498,Chocó,No Definido,,0,No Adjudicado,EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,818001629,V1.80101600,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6692909,700566011,Adjudicado,2024,3.9155429850746266,,1,27067552244,27067.552244,V1.801,True,395.27727870199647,773.8625878904952,302.8524627685548,0,67.47737955716525,2.965950412683589e-13,6811.896860018676,63.6711311340332,0.2189347743988037,103025.8280467693,68.47737955716524
107728,INSTITUTO DE PLANIFICACIÓN Y PROMOCIÓN DE SOLUCIONES ENERGÉTICAS PARA LAS ZONAS NO INTERCONECTADAS IPSE,899999048,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL,Nacional,Centralizada,CO1.REQ.6269637,IPSE-155-2024,700566011,CO1.BDOS.6147354,CONTRATO INT ENELAR,MEJORAMIENTO DE LA LÍNEA DE INTERCONEXIÓN ACANDÍ - CAPURGANÁ Y MEJORAMIENTO DE LA CENTRAL DE GENERACIÓN DE CAPURGANÁ EN EL DEPARTAMENTO DEL CHOCO.,Presentación de oferta,05/21/2024,05/21/2024,,,,,05/21/2024,12492455522,Contratación directa,Servicios profesionales y apoyo a la gestión,otro,Mes(es),,,,Bogotá,SUBDIRECION CONTRATOS,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,701237117,Arauca,No Definido,,0,No Adjudicado,ENELAR E.S.P,892099499,V1.81101701,Abierto,Prestación de servicios,No Definido,No definido,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6156352,700566011,Adjudicado,2024,3.9155429850746266,,1,12492455522,12492.455522,V1.811,True,240.28246991866038,470.4181697632078,184.0989646911621,0,50.99070712994129,7.512330960106676e-13,3129.112130497483,43.14717864990234,0.3735372424125671,97984.93067242691,51.99070712994129
