Nombre Entidad,Valor real,Valor Proyectado,Tamaño valor extraño,veces la predicción
(Secretaría Distrital de Integración Social),696681.007573,649762.5088492142,-795.4634550011934,17782.07155117295
.SECRETARÍA DISTRITAL DE SALUD.,1964.601985,2377.210799068723,-51.25950626773788,82.46553805411774
ACI Medellín,1300.6229210000001,1580.013719999599,-166.2919224504093,27.650280690048312
ADMINISTRACION PUBLICA COOPERATIVA DE SERVICIOS PUBLICOS DOMICILIARIOS DE BUESACO,5.470511000000002,112.83384714980347,-33.8679099381999,0.11677600869276017
ADMINISTRACIÓN PUBLICA COOPERATIVA DEL MUNICIPIO DE ENCINO AGUASAN A.P.C. E.S.P,299.572594,1318.4085871995755,-125.42209832878683,7.29006929436737
ADRES,59520.220152,51584.04217610625,-128.56834342787505,1006.9311455780606
AEROCIVIL,184174.77030200002,126122.00737599445,231.87886771732425,2703.624429825948
AEROPUERTO INTERNACIONAL MATECAÑA,3953.426621,4718.698897514793,-113.18731102326721,128.2163386414301
AGENCIA DE COMERCIALIZACIÓN Y DE COMPETITIVIDAD PARA EL DESARROLLO REGIONAL  ACODER,13675.761731,13194.121258249335,-217.3661184956891,413.923576338332
AGENCIA DE CUNDINAMARCA PARA LA PAZ Y LA CONVIVENCIA - ACPC,701.3981000000001,614.8724972163311,-18.366014025277085,18.42870608811846
AGENCIA DE DESARROLLO RURAL,147929.40840100002,140201.8027480559,-1214.486553892144,2868.882058809517
AGENCIA DE EDUCACIÓN POSTSECUNDARIA DE MEDELLÍN -SAPIENCIA-,19019.482276,20245.464607988222,-484.20687118403276,653.5782043575267
AGENCIA DE RENOVACION DEL TERRITORIO,20960.057059000002,17823.244485194307,-99.60666041113919,266.6251190776676
AGENCIA DISTRITAL DE INFRAESTRUCTURA DEL DISTRITO DE BARRANQUILLA,345.59424000000007,415.4592410517241,-0.546470140965653,5.16478651846168
