,Nombre Entidad,Descripcion del Proceso,Tipo de Contrato,Género Representante Legal,Valor real,Valor Proyectado,Duración del contrato,Tamaño valor extraño,veces la predicción,URLProceso,similarity
100962,ALCALDIA LOCAL DE CIUDAD BOLIVAR //,PRESTAR SUS SERVICIOS PROFESIONALES PARA APOYAR AL EQUIPO DE PRENSA Y COMUNICACIONES DE LA ALCALDÍA LOCAL EN LA REALIZACIÓN Y PUBLICACIÓN DE CONTENIDOS DE REDES SOCIALES Y CANALES DE DIVULGACIÓN DIGITAL (SITIO WEB) DE LA ALCALDÍA LOCAL.,Prestación de servicios,No Definido,17.64,13.940220501831433,3 Mes(es),0.2097380667896013,1.265403226418298,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6953529&isFromPublicArea=True&isModal=true&asPopupView=true,0.33496296405792236
143364,MUNICIPIO DE ANSERMA CALDAS,Prestar los servicios de apoyo a la gestión en la Alcaldía de Anserma; para servir de enlace con los medios de comunicación; así como la recopilación y difusión de información audiovisual de la ejecución de programas y actividades adelantados por la administración municipal,Prestación de servicios,Hombre,13.0,10.173493554506708,142 Dia(s),0.21742357273025326,1.2778304650560468,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5630578&isFromPublicArea=True&isModal=true&asPopupView=true,0.30807802081108093
270408,ALCALDIA SAN PABLO DE BORBUR,PRESTACIÓN DE SERVICIOS PROFESIONALES Y DE APOYO A LA GESTIÓN COMO COMUNICADOR SOCIAL PARA LA GESTION; SOSTENIMIENTO Y CRECIMIENTO DE LOS CONTENIDOS PUBLICADOS EN REDES SOCIALES Y EL DESARROLLO DE PIEZAS PUBLICITARIAS Y CONTENIDOS AUDIOVISUALES DEL MUNICIPIO DE SAN PABLO DE BORBUR 2024,Prestación de servicios,No Definido,40.739999999999995,31.776192850579843,315 Dia(s),0.22002472138979265,1.2820919167872113,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5617846&isFromPublicArea=True&isModal=true&asPopupView=true,0.341308057308197
664922,GOBERNACIÓN DE CUNDINAMARCA - SECRETARÍA DE PRENSA Y COMUNICACIONES,PRESTAR SERVICIOS PROFESIONALES A LA SECRETARÍA DE PRENSA Y COMUNICACIONES COMO PRODUCTORA AUDIOVISUAL DE LOS DISTINTOS PROGRAMAS RADIALES DE LA EMISORA EL DORADO RADIO; CONTRIBUYENDO A SU ESTRATEGIA DE RECONOCIMIENTO Y POSICIONAMIENTO; EN BUSCA DE AUMENTAR LA AUDIENCIA EN LOS MUNICIPIOS,Prestación de servicios,Mujer,28.333332999999996,21.868146525339355,170 Dia(s),0.2281830547313527,1.2956440074685438,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6380271&isFromPublicArea=True&isModal=true&asPopupView=true,0.3617967367172241
204351,CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,PRESTACION DE SERVICIOS PROFESIONALES DE APOYO A LA GESTIÓN EN LA ELABORACIÓN Y DIVULGACIÓN DE PIEZAS PUBLICITARIAS Y AUDIOVISUALES; PARA LA PROMOCIÓN DE LAS ACTIVIDADES MISIONALES EN LA JURISDICCION DE LA CORPORACION AUTONOMA REGIONAL DEL CANAL DEL DIQUE - CARDIQUE,Prestación de servicios,No Definido,37.485,28.620228001032018,7 Mes(es),0.23648851537863097,1.3097379936542897,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6062454&isFromPublicArea=True&isModal=true&asPopupView=true,0.30747297406196594
262897,EMPRESA DE FOMENTO Y DESARROLLO SOSTENIBLE DE OCCIDENTE,CONTRATAR LA PRESTACION DE SERVICIO PARA LAS CAMPAÑAS DE COMUNICACIÓN Y LA IMPRESIÓN DE MATERIAL PUBLICITARIO; QUE PERMITAN HACER PROMOCIÓN Y DIVULGACIÓN DE LAS ACTIVIDADES DE LA ADMINISTRACIÓN MUNICIPAL EN MEDIOS MASIVOS Y ALTERNATIVOS DE COMUNICACIÓN,Prestación de servicios,Mujer,175.0,133.17599201778313,150 Dia(s),0.23899433132695355,1.314050658444745,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6317700&isFromPublicArea=True&isModal=true&asPopupView=true,0.36511823534965515
720698,PROSPERIDAD SOCIAL,Prestar servicios profesionales para apoyar el cumplimiento de actividades estratégicas en el cubrimiento periodístico; digital y relacionamiento con medios de comunicación.,Prestación de servicios,Mujer,31.439999999999994,23.872043355967893,134 Dia(s),0.2407110891867717,1.3170217367312274,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6572909&isFromPublicArea=True&isModal=true&asPopupView=true,0.3216506242752075
766763,Contraloría Municipal de Pereira,Prestación de servicios profesionales como comunicador social periodista; brindando acompañamiento en virtud de visibilizar a través de medios de comunicación y redes sociales la labor desempeñada por la Contraloría Municipal de Pereira,Prestación de servicios,Hombre,5.3999999999999995,4.092520282487415,2 Mes(es),0.24212587361344157,1.3194803268556812,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5640376&isFromPublicArea=True&isModal=true&asPopupView=true,0.3751341700553894
346202,CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA,CONTRATAR LOS SERVICIOS DE UN (1) COMUNICADOR SOCIAL PERIODISTA; PARA APOYAR LAS ESTRATEGIAS DE COMUNICACIÓN INSTITUCIONAL; ORGANIZACIONAL Y REDES SOCIALES DE LA ENTIDAD.(PRENSA_PERIODISTA_01),Prestación de servicios,Mujer,18.0,13.437771969231093,6 Mes(es),0.2534571128204948,1.339507772658681,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6226636&isFromPublicArea=True&isModal=true&asPopupView=true,0.31949496269226074
422310,ALCALDIA MUNICIPAL DE BUGA,PRESTACIÓN DE SERVICIOS PROFESIONALES PARA APOYAR LA GESTIÓN COMUNICACIONAL EN LA AUDIENCIA PÚBLICA DE RENDICIÓN DE CUENTAS; ENCUENTROS COMUNITARIOS Y DEMÁS ACTIVIDADES EN LA SECRETARIA DE BIENESTAR SOCIAL Y DESARROLLO COMUNITARIO REQUERIDAS POR LA OFICINA DE PRENSA DE LA ALCALDIA MUNICIPAL DE GUADA,Prestación de servicios,No Definido,11.999999999999998,8.946910171732377,6 Mes(es),0.25442415235563515,1.341245163935345,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5881484&isFromPublicArea=True&isModal=true&asPopupView=true,0.33404630422592163
77039,AGENCIA DE EDUCACIÓN POSTSECUNDARIA DE MEDELLÍN -SAPIENCIA-,Prestación de servicios de forma temporal como profesional I en diseño gráfico; en el área de comunicaciones; para apoyar la conceptualización; diseño y ejecución de campañas publicitarias para medios convencionales y digitales que acompañen la promoción y divulgación de los diferentes programas y p,Prestación de servicios,Hombre,24.510057,18.268899669769223,146 Dia(s),0.2546365897978441,1.341627434768742,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6502269&isFromPublicArea=True&isModal=true&asPopupView=true,0.33023637533187866
192002,MUNICIPIO DE ANSERMA CALDAS,Prestación de servicios de apoyo a la gestión en la Alcaldía de Anserma; para servir de enlace con los medios de comunicación; así como la recopilación; difusión y respuesta a través de medios audiovisuales de la ejecución de programas y actividades adelantados por la administración municipal,Prestación de servicios,Hombre,9.999999999999998,7.330922671879351,114 Dia(s),0.2669077328120647,1.3640847745344453,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6655850&isFromPublicArea=True&isModal=true&asPopupView=true,0.3255193829536438
326942,SECRETARIA DISTRITAL DE DESARROLLO ECONOMICO - ALCALDIA BOGOTÁ,"PRESTAR LOS SERVICIOS PROFESIONALES PARA APOYAR LA CREACIÓN; REALIZACIÓN E IMPLEMENTACIÓN DE ESTRATEGIAS DE
COMUNICACIÓN Y MARKETING; A TRAVÉS DE CONTENIDOS MULTIMEDIA Y AUDIOVISUALES; REQUERIDOS PARA LA DIFUSIÓN Y DIVULGACIÓN
DE LAS ACCIONES COMUNICATIVAS LIDERADAS POR LA OFICINA ASESORA DE COMUNIC",Prestación de servicios,Hombre,29.999999999999996,21.971220044406063,120 Dia(s),0.2676259985197978,1.3654225818760612,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6576732&isFromPublicArea=True&isModal=true&asPopupView=true,0.34865275025367737
208894,GOBERNACIÓN DE CUNDINAMARCA - SECRETARÍA DE PRENSA Y COMUNICACIONES,PRESTAR LOS SERVICIOS PROFESIONALES COMO COMMUNITY MANAGER PARA EL MANEJO DE LAS REDES SOCIALES DE LA EMISORA DE INTERES PUBLICO; PARA LA IMPLEMENTACION DE ESTRATEGIAS SOCIAL MEDIA PARA EL POSICIONAMIENTO DE LA EMISORA EL DORADO RADIO EN BUSCA DE AUMENTAR LA AUDIENCIA DE LOS MUNICIPIOS.,Prestación de servicios,Mujer,20.5,14.96994215572624,123 Dia(s),0.2697589192328663,1.3694107690428465,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6427831&isFromPublicArea=True&isModal=true&asPopupView=true,0.30657321214675903
424678,MINTRABAJO NIVEL CENTRAL*/,Prestar servicios profesionales acompañando la creación; redacción; realización; preproducción; producción y posproducción de contenidos audiovisuales estratégicos que fortalezcan en medios televisivos; radiales y digitales la comunicación de la política pública de IVC; a las audiencias interna y ex,Prestación de servicios,No Definido,104.5465,76.05377009032716,307 Dia(s),0.2725364302934372,1.3746392831786345,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5738010&isFromPublicArea=True&isModal=true&asPopupView=true,0.3895474076271057
325942,ALCALDIA DISTRITAL BARRANCABERMEJA,PRESTACION DE SERVICIOS PROFESIONALES COMO COMUNICADOR SOCIAL ESPECIALISTA PARA APOYAR EN LA REVISIÓN Y APROBACIÓN DE LOS PRODUCTOS COMUNICATIVOS DE LA OFICINA ASESORA DE PRENSA; COMUNICACIONES Y PROTOCOLO DE LA ALCALDIA DISTRITAL DE BARRANCABERMEJA,Prestación de servicios,Mujer,23.999999999999996,17.18333536979373,4 Mes(es),0.2840276929252611,1.3967020653155122,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5583402&isFromPublicArea=True&isModal=true&asPopupView=true,0.3078116774559021
689025,MUNICIPIO DE COGUA,PRESTACION DE SERVICIOS PROFESIONALES PARA LA COORDINACION  DEL EQUIPO DE PRENSA Y MEDIOS DE COMUNICACIONES Y PROTOCOLO DE LA ADMINISTRACION MUNICIPAL,Prestación de servicios,Hombre,39.466660000000005,27.641751481406583,320 Dia(s),0.2996176651024794,1.4277915792183982,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5524403&isFromPublicArea=True&isModal=true&asPopupView=true,0.32138800621032715
461676,CONTRALORIA DISTRITAL DE SANTA MARTA,PRESTAR LOS SERVICIOS PROFESIONALES COMO COMUNICADOR SOCIAL Y PERIODISTA PARA APOYAR A LA SECRETARIA GENERAL DE LA CONTRALORIA DISTRITAL DE SANTA MARTA; EN EL INTERCAMBIO DE    INFORMACIÓN ENTRE LA ADMINISTRACIÓN Y LOS CIUDADANOS A TRAVÉS DE LAS REDES SOCIALES; MEDIOS DE COMUNICACIÓN PERIDISTICOS; A,Prestación de servicios,Mujer,21.599999999999998,15.039709919721483,6 Mes(es),0.3037171333462276,1.4361979130778344,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5818511&isFromPublicArea=True&isModal=true&asPopupView=true,0.33281612396240234
811972,MUNICIPIO DE HONDA,CONTRATAR LA PRESTACION DE SERVICIOS PROFESIONALES PARA LA DIRECCION Y CORDINACION DE LAS ACTIVIDADES DE PRENSA; MANEJO DE LOS MEDIOS DE COMUNICACION; ADMINISTRACION Y ACTUALIZACION DE LAS REDES SOCIALES DE LA ALCALDIA MUNICIPAL,Prestación de servicios,Mujer,30.974999999999998,21.544761750487844,300 Dia(s),0.30444675543219224,1.4377044572933662,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5757562&isFromPublicArea=True&isModal=true&asPopupView=true,0.3342672884464264
678513,ESTABLECIMIENTO PUBLICO AMBIENTAL DE CARTAGENA,"Prestación de servicios profesionales como Comunicador Social para el desarrollo 
de las actividades asociadas a comunicaciones y prensa del Establecimiento 
Público Ambiental EPA CARTAGENA.",Prestación de servicios,No Definido,16.0,11.069040213189247,4 Mes(es),0.30818498667567207,1.4454731116556336,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5599313&isFromPublicArea=True&isModal=true&asPopupView=true,0.3356879949569702
417924,INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA INDEPORTES CÓRDOBA,PRESTACIÓN DE SERVICIOS DE UN LICENCIADO EN MEDIOS AUDIOVISUALES PARA BRINDAR APOYO EN EL ÁREA PRENSA Y COMUNICACIONES DEL INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA - INDEPORTES CÓRDOBA,Prestación de servicios,Mujer,21.593333,14.804200081952335,158 Dia(s),0.3144087537596751,1.458595052786691,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6438375&isFromPublicArea=True&isModal=true&asPopupView=true,0.30719542503356934
335001,INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA INDEPORTES CÓRDOBA,PRESTACIÓN DE SERVICIOS DE UN LICENCIADO EN MEDIOS AUDIOVISUALES PARA BRINDAR APOYO EN EL ÁREA PRENSA Y COMUNICACIONES DEL INSTITUTO DEPARTAMENTAL DE DEPORTES DE CÓRDOBA-INDEPORTES CÓRDOBA,Prestación de servicios,Hombre,21.593333,14.804200081952335,158 Dia(s),0.3144087537596751,1.458595052786691,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6438380&isFromPublicArea=True&isModal=true&asPopupView=true,0.30719542503356934
